DATE,OIL
1-Jun-14,537
1-Jul-14,356
1-Aug-14,365
1-Sep-14,334
1-Oct-14,323
1-Nov-14,330
1-Dec-14,281
1-Jan-15,228
1-Feb-15,200
1-Mar-15,181
1-Apr-15,192
1-May-15,129
1-Jun-15,117
1-Jul-15,124
1-Aug-15,90
1-Sep-15,116
1-Oct-15,107
1-Nov-15,129
1-Dec-15,116
1-Jan-16,112
1-Feb-16,107
1-Mar-16,121
1-Apr-16,123
1-May-16,142
1-Jun-16,132
1-Jul-16,141
1-Aug-16,129
1-Sep-16,92
1-Oct-16,113
1-Nov-16,205
1-Dec-16,159
1-Jan-17,155
1-Feb-17,106
1-Mar-17,102
1-Apr-17,66
1-May-17,48
1-Jun-17,27
1-Jul-17,31
1-Aug-17,57
1-Sep-17,73
1-Oct-17,94
1-Nov-17,102
1-Dec-17,99
1-Jan-18,101
1-Feb-18,78
1-Mar-18,60
1-Apr-18,78
1-May-18,90
1-Jun-18,80
1-Jul-18,82
1-Aug-18,81
1-Sep-18,78
1-Oct-18,61
1-Nov-18,63
1-Dec-18,57
1-Jan-19,68
1-Feb-19,43
1-Mar-19,45
1-Apr-19,66
1-May-19,61
1-Jun-19,63
1-Jul-19,50
1-Aug-19,35
1-Sep-19,44
1-Oct-19,47
1-Nov-19,50
1-Dec-19,42
1-Jan-20,30
1-Feb-20,44
1-Mar-20,60
1-Apr-20,63
1-May-20,62
1-Jun-20,50
1-Jul-20,43
1-Aug-20,51
1-Sep-20,42
1-Oct-20,37
1-Nov-20,28
1-Dec-20,40
1-Jan-21,34
1-Feb-21,26
1-Mar-21,28
1-Apr-21,86
1-May-21,50
1-Jun-21,38
1-Jul-21,52
1-Aug-21,56
1-Sep-21,35
1-Oct-21,31
1-Nov-21,61
1-Dec-21,55
1-Jan-22,47
1-Feb-22,38
1-Mar-22,33
1-Apr-22,34
1-May-22,37
1-Jun-22,36
1-Jul-22,35
1-Aug-22,28
1-Sep-22,27
1-Oct-22,25
1-Nov-22,31
1-Dec-22,30
1-Jan-23,38
1-Feb-23,29
1-Mar-23,6
1-Apr-23,13
1-May-23,0
1-Jun-23,0
1-Jul-23,0
1-Aug-23,0
1-Sep-23,21
1-Oct-23,28
1-Nov-23,20
1-Dec-23,26
